Date (GMT +11);testDataYear
06 Nov 2021 13:42:26;26.80,point {  fill-color: #F05323; }
06 Nov 2021 13:52:33;26.23,point {  fill-color: #F05323; }
06 Nov 2021 13:32:18;33.38,point {  fill-color: #F05323; }
06 Nov 2021 13:22:11;31.80,point {  fill-color: #F05323; }
06 Nov 2021 13:12:04;30.68,point {  fill-color: #F05323; }
06 Nov 2021 13:01:57;29.53,point {  fill-color: #F05323; }
06 Nov 2021 12:51:50;25.61,point {  fill-color: #F05323; }
06 Nov 2021 12:41:43;31.44,point {  fill-color: #F05323; }
06 Nov 2021 12:31:36;30.53,point {  fill-color: #F05323; }
06 Nov 2021 12:21:28;33.01,point {  fill-color: #F05323; }
06 Nov 2021 12:11:21;29.22,point {  fill-color: #F05323; }
06 Nov 2021 12:01:14;31.13,point {  fill-color: #F05323; }
06 Nov 2021 11:51:07;33.46,point {  fill-color: #F05323; }
06 Nov 2021 11:41:00;29.33,point {  fill-color: #F05323; }
06 Nov 2021 11:30:52;28.99,point {  fill-color: #F05323; }
06 Nov 2021 11:20:45;30.13,point {  fill-color: #F05323; }
06 Nov 2021 11:10:38;28.59,point {  fill-color: #F05323; }
06 Nov 2021 11:00:31;33.42,point {  fill-color: #F05323; }
06 Nov 2021 10:50:23;34.74,point {  fill-color: #F05323; }
06 Nov 2021 10:40:16;32.14,point {  fill-color: #F05323; }
06 Nov 2021 10:30:09;29.71,point {  fill-color: #F05323; }
06 Nov 2021 10:20:02;26.33,point {  fill-color: #F05323; }
06 Nov 2021 10:09:55;27.49,point {  fill-color: #F05323; }
06 Nov 2021 09:59:48;30.73,point {  fill-color: #F05323; }
06 Nov 2021 09:49:40;33.27,point {  fill-color: #F05323; }
06 Nov 2021 09:39:33;27.15,point {  fill-color: #F05323; }
06 Nov 2021 09:29:26;25.45,point {  fill-color: #F05323; }
06 Nov 2021 09:19:19;33.43,point {  fill-color: #F05323; }
06 Nov 2021 09:09:12;30.64,point {  fill-color: #F05323; }
06 Nov 2021 08:59:05;29.58,point {  fill-color: #F05323; }
07 Nov 2021 13:42:26;30.24,point {  fill-color: #F05323; }
07 Nov 2021 13:52:33;28.76,point {  fill-color: #F05323; }
07 Nov 2021 13:32:18;29.33,point {  fill-color: #F05323; }
07 Nov 2021 13:22:11;28.06,point {  fill-color: #F05323; }
07 Nov 2021 13:12:04;28.60,point {  fill-color: #F05323; }
07 Nov 2021 13:01:57;25.08,point {  fill-color: #F05323; }
07 Nov 2021 12:51:50;30.51,point {  fill-color: #F05323; }
07 Nov 2021 12:41:43;25.07,point {  fill-color: #F05323; }
07 Nov 2021 12:31:36;30.16,point {  fill-color: #F05323; }
07 Nov 2021 12:21:28;32.47,point {  fill-color: #F05323; }
07 Nov 2021 12:11:21;28.14,point {  fill-color: #F05323; }
07 Nov 2021 12:01:14;25.82,point {  fill-color: #F05323; }
07 Nov 2021 11:51:07;25.88,point {  fill-color: #F05323; }
07 Nov 2021 11:41:00;31.93,point {  fill-color: #F05323; }
07 Nov 2021 11:30:52;32.67,point {  fill-color: #F05323; }
